1,哈弗H6,长城汽车,35570,35570
2,长安CS75,长安汽车,33590,33590
3,特斯拉Model&nbsp;Y,特斯拉中国,33297,33297
4,长安CS55,长安汽车,30316,30316
5,日产逍客,东风日产,24732,24732
6,红旗HS5,一汽红旗,24451,24451
7,本田CR-V,东风本田,24293,24293
8,比亚迪宋新能源,比亚迪,20722,20722
9,本田缤智,广汽本田,18395,18395
10,奔驰GLC,北京奔驰,18211,18211
11,大众途观L,上汽大众,17768,17768
12,本田XR-V,东风本田,17614,17614
13,宝马X3,华晨宝马,17101,17101
14,丰田威兰达,广汽丰田,16982,16982
15,吉利缤越,吉利汽车,16976,16976
16,长安欧尚X5,长安汽车,16400,16400
17,奇瑞瑞虎8,奇瑞汽车,16240,16240
18,吉利博越,吉利汽车,16107,16107
19,丰田RAV4荣放,一汽丰田,13654,13654
20,广汽传祺GS4,广汽乘用车,13523,13523
21,丰田汉兰达,广汽丰田,13189,13189
22,理想ONE,理想汽车,12268,12268
23,大众T-ROC探歌,一汽-大众,12187,12187
24,荣威RX5,上汽集团,12074,12074
25,奥迪Q5L,一汽-大众奥迪,11699,11699
26,五菱星辰,上汽通用五菱,11509,11509
27,吉利星越L,吉利汽车,11492,11492
28,奇瑞瑞虎7,奇瑞汽车,11138,11138
29,本田皓影,广汽本田,11071,11071
30,宝马X1,华晨宝马,10904,10904
31,别克昂科威,上汽通用别克,10538,10538
32,坦克300,长城汽车,10363,10363
33,长安欧尚X7,长安汽车,10159,10159
34,哈弗神兽,长城汽车,10085,10085
35,比亚迪唐新能源,比亚迪,9060,9060
36,东风风行T5&nbsp;EVO,东风风行,8909,8909
37,捷达VS5,一汽-大众捷达,8517,8517
38,大众途岳,上汽大众,8452,8452
39,大众探岳,一汽-大众,8106,8106
40,东风新能源EX1,东风汽车,7947,7947
41,捷途X70,奇瑞汽车,7910,7910
42,哈弗大狗,长城汽车,7826,7826
43,奇瑞瑞虎3x,奇瑞汽车,6995,6995
44,长安UNI-T,长安汽车,6913,6913
45,比亚迪元新能源,比亚迪,6596,6596
46,凯迪拉克XT5,上汽通用凯迪拉克,6546,6546
47,哪吒V,合众汽车,6482,6482
48,广汽埃安Aion&nbsp;Y,广汽埃安,6413,6413
49,宝骏530,上汽通用五菱,6340,6340
50,沃尔沃XC60,沃尔沃亚太,6326,6326
51,启辰大V,东风启辰,6310,6310
52,吉利帝豪S,吉利汽车,6302,6302
53,奇瑞瑞虎5X,奇瑞汽车,6066,6066
54,现代ix35,北京现代,5960,5960
55,吉利远景X3,吉利汽车,5930,5930
56,大众途昂,上汽大众,5916,5916
57,奔驰GLB,北京奔驰,5808,5808
58,吉利远景X6,吉利汽车,5661,5661
59,吉利豪越,吉利汽车,5554,5554
60,哈弗M6,长城汽车,5342,5342
61,蔚来ES6,蔚来,5247,5247
62,广汽传祺GS3,广汽乘用车,5231,5231
63,凯迪拉克XT4,上汽通用凯迪拉克,5212,5212
64,东风风神AX7,东风乘用车,5068,5068
65,长安UNI-K,长安汽车,4915,4915
66,广汽传祺GS8,广汽乘用车,4858,4858
67,林肯冒险家,长安林肯,4826,4826
68,哪吒U,合众汽车,4527,4527
69,东风风光580,东风小康,4498,4498
70,哈弗赤兔,长城汽车,4455,4455
71,福特锐际,长安福特,4378,4378
72,名爵ZS,上汽集团,4298,4298
73,现代途胜,北京现代,4198,4198
74,奥迪Q3,一汽-大众奥迪,4128,4128
75,大众ID.4&nbsp;X,上汽大众,4088,4088
76,领克06,领克,4061,4061
77,星途TXL,星途,3935,3935
78,捷达VS7,一汽-大众捷达,3932,3932
79,丰田凌放HARRIER,一汽丰田,3906,3906
80,奔驰GLA,北京奔驰,3807,3807
81,大众途铠T-Cross,上汽大众,3727,3727
82,哈弗初恋,长城汽车,3668,3668
83,奥迪Q2L,一汽-大众奥迪,3534,3534
84,极氪001,极氪,3530,3530
85,丰田C-HR,广汽丰田,3501,3501
86,长安CS35,长安汽车,3462,3462
87,三菱欧蓝德,广汽三菱,3320,3320
88,思皓QX,江汽集团,3308,3308
89,本田UR-V,东风本田,3101,3101
90,领克01,领克,2952,2952
91,大众揽境,一汽-大众,2939,2939
92,蔚来EC6,蔚来,2874,2874
93,马自达CX-5,长安马自达,2717,2717
94,大众探影,一汽-大众,2637,2637
95,宝马X2,华晨宝马,2552,2552
96,魏牌摩卡,长城汽车,2542,2542
97,福特锐界,长安福特,2521,2521
98,东风风光500,东风小康,2493,2493
99,长安CS15,长安汽车,2447,2447
100,本田冠道,广汽本田,2351,2351
101,广汽埃安Aion&nbsp;V,广汽埃安,2230,2230
102,皇冠陆放,一汽丰田,2214,2214
103,大众ID.4&nbsp;CROZZ,一汽-大众,2206,2206
104,小鹏汽车G3,小鹏汽车,2186,2186
105,斯柯达柯米克,上汽斯柯达,2185,2185
106,哈弗F7,长城汽车,2116,2116
107,捷途X90,奇瑞汽车,2070,2070
108,零跑C11,零跑汽车,2069,2069
109,福特探险者,长安福特,2020,2020
110,几何EX3&nbsp;功夫牛,几何汽车,2010,2010
111,宝骏510,上汽通用五菱,2001,2001
112,比亚迪元PLUS,比亚迪,2000,2000
113,马自达CX-30,长安马自达,1985,1985
114,几何C,几何汽车,1968,1968
115,名爵EZS纯电动,上汽集团,1958,1958
116,起亚智跑,东风悦达起亚,1942,1942
117,沃尔沃XC40,沃尔沃亚太,1919,1919
118,领克05,领克,1868,1868
119,长安欧尚CX70,长安汽车,1843,1843
120,北京BJ40,北京越野,1816,1816
121,福特领界,江铃福特科技,1806,1806
122,起亚KX3傲跑,东风悦达起亚,1732,1732
123,比亚迪宋,比亚迪,1727,1727
124,Jeep大指挥官,广汽菲克Jeep,1671,1671
125,荣威RX8,上汽集团,1667,1667
126,起亚奕跑,东风悦达起亚,1643,1643
127,启辰T60,东风启辰,1627,1627
128,长安欧尚科赛3,长安汽车,1582,1582
129,东风风光S560,东风小康,1575,1575
130,福特领裕,江铃福特科技,1568,1568
131,魏牌拿铁DHT,长城汽车,1566,1566
132,日产劲客,东风日产,1561,1561
133,宝马iX3,华晨宝马,1556,1556
134,岚图FREE,岚图汽车,1553,1553
135,蔚来ES8,蔚来,1531,1531
136,思皓X8,江汽集团,1522,1522
137,凯迪拉克XT6,上汽通用凯迪拉克,1486,1486
138,吉利星越S,吉利汽车,1459,1459
139,长安CS85&nbsp;COUPE,长安汽车,1419,1419
140,红旗HS7,一汽红旗,1415,1415
141,丰田锋兰达,广汽丰田,1351,1351
142,雪佛兰探界者,上汽通用雪佛兰,1339,1339
143,林肯航海家,长安林肯,1314,1314
144,本田CR-V新能源,东风本田,1302,1302
145,标致4008,东风标致,1287,1287
146,长安CS95,长安汽车,1256,1256
147,荣威RX5新能源,上汽集团,1245,1245
148,野马博骏,野马汽车,1221,1221
149,斯柯达柯珞克,上汽斯柯达,1207,1207
150,创维汽车EV6,创维汽车,1207,1207
151,奥迪Q5L&nbsp;Sportback,一汽-大众奥迪,1200,1200
152,日产奇骏,东风日产,1184,1184
153,哈弗H9,长城汽车,1166,1166
154,名爵HS,上汽集团,1148,1148
155,大众ID.6&nbsp;X,上汽大众,1088,1088
156,标致5008,东风标致,1075,1075
157,日产途达,东风日产,1072,1072
158,领克09新能源,领克,1057,1057
159,雪铁龙天逸&nbsp;C5&nbsp;AIRCROSS,东风雪铁龙,1048,1048
